 THU price [$] , Factory scale factor [-] , Shipping cost [$/mile] , Budget [$] , status , THU built , Factories build , Cost [$] 
" 8,000 ", 30 , 1 ," 200,000,000 ", 2 ," 22,249 ", 5 ," 200,000,000 "
" 8,000 ", 30 , 2 ," 50,000,000 ", 2 ," 5,223 ", 2 ," 50,000,000 "
" 8,000 ", 30 , 2 ," 100,000,000 ", 2 ," 10,888 ", 3 ," 100,000,000 "
" 8,000 ", 30 , 2 ," 150,000,000 ", 2 ," 16,530 ", 4 ," 150,000,000 "
" 8,000 ", 30 , 2 ," 200,000,000 ", 2 ," 22,145 ", 5 ," 200,000,000 "
" 8,000 ", 30 , 5 ," 50,000,000 ", 2 ," 5,197 ", 2 ," 50,000,000 "
" 8,000 ", 30 , 5 ," 100,000,000 ", 2 ," 10,808 ", 3 ," 100,000,000 "
" 8,000 ", 30 , 5 ," 150,000,000 ", 2 ," 16,386 ", 4 ," 150,000,000 "
" 8,000 ", 30 , 5 ," 200,000,000 ", 2 ," 21,901 ", 5 ," 200,000,000 "
" 8,000 ", 33 , 1 ," 50,000,000 ", 2 ," 5,140 ", 2 ," 50,000,000 "
" 8,000 ", 33 , 1 ," 100,000,000 ", 2 ," 10,772 ", 3 ," 100,000,000 "
" 8,000 ", 33 , 1 ," 150,000,000 ", 2 ," 16,394 ", 4 ," 150,000,000 "
" 8,000 ", 33 , 1 ," 200,000,000 ", 2 ," 21,987 ", 5 ," 200,000,000 "
" 8,000 ", 33 , 2 ," 50,000,000 ", 2 ," 5,124 ", 2 ," 50,000,000 "
" 8,000 ", 33 , 2 ," 100,000,000 ", 2 ," 10,736 ", 3 ," 100,000,000 "
" 8,000 ", 33 , 2 ," 150,000,000 ", 2 ," 16,321 ", 4 ," 150,000,000 "
" 8,000 ", 33 , 2 ," 200,000,000 ", 2 ," 21,887 ", 5 ," 200,000,000 "
" 8,000 ", 33 , 5 ," 50,000,000 ", 2 ," 5,093 ", 2 ," 50,000,000 "
" 8,000 ", 33 , 5 ," 100,000,000 ", 2 ," 10,652 ", 3 ," 100,000,000 "
